#gene_id	length
XLOC_023461	542
XLOC_023460	1264
XLOC_023467	1439
XLOC_023466	1568
XLOC_023465	1824
XLOC_023464	432
XLOC_053385	177
XLOC_053384	1228
XLOC_010108	2914
XLOC_053386	702
XLOC_053381	256
XLOC_053380	286
XLOC_053383	3253
XLOC_024209	826
XLOC_010102	1784
XLOC_024207	613
XLOC_024204	699
XLOC_024205	691
XLOC_010106	381
XLOC_010107	229
XLOC_010104	776
XLOC_010105	1399
XLOC_012969	1472
XLOC_027472	225
XLOC_027698	135
XLOC_042829	374
XLOC_027699	2610
XLOC_030635	426
XLOC_005193	218
XLOC_042822	1479
XLOC_002106	1039
XLOC_042823	1413
XLOC_061089	3342
XLOC_042821	1753
XLOC_014018	1692
XLOC_056692	5545
XLOC_053945	1697
XLOC_024928	2129
XLOC_056698	743
XLOC_024922	1074
XLOC_004855	691
XLOC_004854	408
XLOC_004857	2016
XLOC_004856	932
XLOC_025159	339
XLOC_004850	2787
XLOC_052472	3862
XLOC_004852	336
XLOC_025155	240
XLOC_025154	955
XLOC_025157	2211
XLOC_025156	263
XLOC_052478	649
XLOC_025150	464
XLOC_025153	267
XLOC_025152	657
XLOC_041082	3353
XLOC_010818	7412
XLOC_010819	160
XLOC_040142	441
XLOC_009745	2023
XLOC_010810	212
XLOC_010811	3510
XLOC_010812	6160
XLOC_010813	3577
XLOC_010814	5474
XLOC_010815	2440
XLOC_010816	4848
XLOC_010817	3831
XLOC_041089	283
XLOC_041088	486
XLOC_050507	2192
XLOC_053698	188
XLOC_007317	4646
XLOC_007316	1019
XLOC_007315	2536
XLOC_007314	5568
XLOC_007313	1213
XLOC_007312	2004
XLOC_007311	1377
XLOC_007310	1955
XLOC_007319	2878
XLOC_007318	947
XLOC_027346	2974
XLOC_019998	340
XLOC_056389	141
XLOC_056386	562
XLOC_056387	240
XLOC_056384	387
XLOC_056385	355
XLOC_056382	144
XLOC_019993	257
XLOC_019990	2657
XLOC_056381	1821
XLOC_027345	429
XLOC_027342	421
XLOC_039850	306
XLOC_027340	1311
XLOC_039852	925
XLOC_012522	111
XLOC_012523	298
XLOC_012520	469
XLOC_012521	727
XLOC_012526	877
XLOC_012527	214
XLOC_012524	165
XLOC_012525	2163
XLOC_002844	1486
XLOC_002845	1382
XLOC_005814	260
XLOC_005815	194
XLOC_005812	970
XLOC_005813	7820
XLOC_005810	2123
XLOC_005811	454
XLOC_053402	420
XLOC_053403	757
XLOC_053400	2485
XLOC_053401	4614
XLOC_053406	380
XLOC_053407	132
XLOC_053404	7542
XLOC_053405	719
XLOC_024783	3828
XLOC_024782	991
XLOC_053408	836
XLOC_053409	747
XLOC_024787	5178
XLOC_024786	1972
XLOC_024785	1824
XLOC_024784	2966
XLOC_018717	1541
XLOC_018716	3379
XLOC_018715	1133
XLOC_055124	1166
XLOC_055123	1233
XLOC_055122	968
XLOC_055121	4611
XLOC_055120	3981
XLOC_018719	1221
XLOC_018718	1327
XLOC_054838	636
XLOC_054839	276
XLOC_054832	463
XLOC_054833	157
XLOC_054830	442
XLOC_054831	3149
XLOC_054836	3208
XLOC_054837	432
XLOC_054834	170
XLOC_054835	252
XLOC_017244	2104
XLOC_016934	3648
XLOC_009040	1906
XLOC_047925	1170
XLOC_006549	1339
XLOC_006548	2808
XLOC_006545	319
XLOC_006544	364
XLOC_006547	1452
XLOC_006546	4611
XLOC_006541	439
XLOC_006540	894
XLOC_006543	714
XLOC_006542	846
XLOC_009250	2051
XLOC_009251	2023
XLOC_009252	1098
XLOC_009253	798
XLOC_032388	362
XLOC_032389	1085
XLOC_009256	675
XLOC_009257	200
XLOC_032384	3818
XLOC_032385	2152
XLOC_032386	237
XLOC_032387	360
XLOC_032380	458
XLOC_032381	1063
XLOC_032382	634
XLOC_032383	1447
XLOC_001005	1037
XLOC_001004	911
XLOC_001007	2593
XLOC_001006	958
XLOC_004033	4644
XLOC_004032	2184
XLOC_004031	369
XLOC_004030	4228
XLOC_057411	2552
XLOC_057410	600
XLOC_057413	4172
XLOC_057412	2050
XLOC_057415	2508
XLOC_001008	678
XLOC_057417	1803
XLOC_057416	1924
XLOC_040165	969
XLOC_040164	954
XLOC_048318	330
XLOC_048319	351
XLOC_040161	1337
XLOC_040160	2359
XLOC_040163	1238
XLOC_040162	1035
XLOC_048312	1684
XLOC_048313	2787
XLOC_048310	303
XLOC_048311	95
XLOC_040169	327
XLOC_040168	823
XLOC_048314	1978
XLOC_048315	767
XLOC_044364	1248
XLOC_005725	917
XLOC_051710	1989
XLOC_051711	349
XLOC_051712	150
XLOC_051713	341
XLOC_051714	266
XLOC_051715	6028
XLOC_051716	5638
XLOC_051717	881
XLOC_051718	218
XLOC_051719	2484
XLOC_001915	1180
XLOC_033260	1141
XLOC_033261	508
XLOC_046648	259
XLOC_046649	473
XLOC_033264	2449
XLOC_033265	2369
XLOC_033266	379
XLOC_033267	210
XLOC_033268	563
XLOC_033269	508
XLOC_046640	1040
XLOC_046641	1547
XLOC_046646	1917
XLOC_046647	468
XLOC_046644	786
XLOC_046645	327
XLOC_041694	644
XLOC_041695	3224
XLOC_041696	920
XLOC_041697	1420
XLOC_041690	510
XLOC_041691	2080
XLOC_041692	3351
XLOC_041693	1965
XLOC_009782	73
XLOC_009783	736
XLOC_009780	7930
XLOC_009781	1341
XLOC_041698	1200
XLOC_041699	1124
XLOC_009784	4176
XLOC_009785	2531
XLOC_002068	72
XLOC_002069	72
XLOC_002066	2206
XLOC_002067	72
XLOC_002064	814
XLOC_002065	761
XLOC_002062	442
XLOC_002063	3071
XLOC_002060	1692
XLOC_002061	1108
XLOC_045148	1465
XLOC_001158	5666
XLOC_035321	402
XLOC_041348	1182
XLOC_041349	364
XLOC_041346	217
XLOC_041347	250
XLOC_041344	1081
XLOC_041345	1194
XLOC_041342	320
XLOC_041343	267
XLOC_041340	1341
XLOC_041341	331
XLOC_049193	4827
XLOC_049192	1287
XLOC_049191	3793
XLOC_049190	4615
XLOC_049197	204
XLOC_049196	907
XLOC_049195	167
XLOC_049194	1717
XLOC_049199	670
XLOC_049198	487
XLOC_044486	1588
XLOC_044487	1983
XLOC_044484	2270
XLOC_044485	1242
XLOC_044482	2382
XLOC_044483	693
XLOC_044480	1775
XLOC_044481	1166
XLOC_027809	433
XLOC_027808	846
XLOC_059525	246
XLOC_044488	812
XLOC_044489	732
XLOC_021591	392
XLOC_059524	349
XLOC_045141	5532
XLOC_059523	450
XLOC_006457	523
XLOC_021593	618
XLOC_059522	137
XLOC_021592	471
XLOC_059521	303
XLOC_021595	438
XLOC_014310	576
XLOC_021594	240
XLOC_047599	209
XLOC_047598	73
XLOC_027687	615
XLOC_021597	1845
XLOC_047591	1710
XLOC_047590	961
XLOC_047593	2894
XLOC_047592	1106
XLOC_047595	1093
XLOC_047594	280
XLOC_047597	698
XLOC_047596	952
XLOC_061106	619
XLOC_061107	1572
XLOC_061104	1120
XLOC_061105	454
XLOC_061102	567
XLOC_061103	196
XLOC_061100	3678
XLOC_061101	104
XLOC_061108	2433
XLOC_061109	2954
XLOC_059529	678
XLOC_011083	74
XLOC_006455	162
XLOC_059528	1036
XLOC_032609	8903
XLOC_032608	3880
XLOC_003339	1253
XLOC_003338	5475
XLOC_039659	2384
XLOC_039658	838
XLOC_039657	3442
XLOC_039656	2293
XLOC_039655	2826
XLOC_039654	215
XLOC_039653	468
XLOC_003330	362
XLOC_039651	304
XLOC_039650	509
XLOC_001782	363
XLOC_001783	1879
XLOC_001780	276
XLOC_001781	5297
XLOC_001786	747
XLOC_001787	915
XLOC_001784	1658
XLOC_001785	1251
XLOC_048244	1846
XLOC_001788	350
XLOC_001789	154
XLOC_006728	2176
XLOC_037541	2978
XLOC_037540	5590
XLOC_037543	864
XLOC_037542	385
XLOC_037545	137
XLOC_037544	4758
XLOC_037547	315
XLOC_037546	321
XLOC_037549	582
XLOC_037548	1462
XLOC_040907	569
XLOC_040906	501
XLOC_040905	378
XLOC_040904	1553
XLOC_040903	1572
XLOC_040902	144
XLOC_040901	1571
XLOC_040900	1197
XLOC_008567	233
XLOC_040909	279
XLOC_040908	543
XLOC_008566	599
XLOC_023382	1049
XLOC_008560	1264
XLOC_001874	628
XLOC_001875	495
XLOC_001876	1956
XLOC_001877	491
XLOC_001870	632
XLOC_001871	1096
XLOC_001872	249
XLOC_001873	906
XLOC_008562	226
XLOC_001878	540
XLOC_001879	514
XLOC_059466	653
XLOC_059467	594
XLOC_059464	3112
XLOC_059465	1548
XLOC_059462	1900
XLOC_059463	117
XLOC_059460	363
XLOC_059461	150
XLOC_059468	2447
XLOC_059469	3357
XLOC_043458	689
XLOC_043459	617
XLOC_026039	297
XLOC_026038	1761
XLOC_043454	4967
XLOC_026036	2565
XLOC_043456	9683
XLOC_026034	993
XLOC_026033	1364
XLOC_043451	382
XLOC_043452	310
XLOC_043453	2466
XLOC_030959	2241
XLOC_006450	203
XLOC_035378	7141
XLOC_035379	3615
XLOC_035370	2668
XLOC_035371	1605
XLOC_035372	1945
XLOC_035373	1190
XLOC_035374	852
XLOC_035375	2556
XLOC_035376	192
XLOC_035377	3954
XLOC_001445	306
XLOC_047367	164
XLOC_001447	226
XLOC_026781	3651
XLOC_026780	2163
XLOC_026783	655
XLOC_036633	1522
XLOC_036634	656
XLOC_036635	521
XLOC_026787	391
XLOC_026786	1290
XLOC_026789	498
XLOC_036639	3569
XLOC_012304	3115
XLOC_047363	658
XLOC_004657	291
XLOC_001443	331
XLOC_004656	212
XLOC_001442	298
XLOC_030973	1014
XLOC_038290	1654
XLOC_038291	313
XLOC_038292	1042
XLOC_038293	386
XLOC_038294	160
XLOC_038295	313
XLOC_038296	786
XLOC_038297	595
XLOC_038298	5690
XLOC_038299	3318
XLOC_030974	273
XLOC_030977	2799
XLOC_055848	592
XLOC_030976	3484
XLOC_055849	1470
XLOC_013925	3010
XLOC_013924	245
XLOC_058737	2175
XLOC_058736	319
XLOC_013921	502
XLOC_013920	654
XLOC_058733	390
XLOC_058732	843
XLOC_034777	156
XLOC_034776	548
XLOC_034775	843
XLOC_034774	151
XLOC_058739	2595
XLOC_034772	342
XLOC_034771	2058
XLOC_034770	3353
XLOC_044103	1154
XLOC_044102	362
XLOC_044101	1422
XLOC_044100	1213
XLOC_044107	301
XLOC_044106	191
XLOC_027788	347
XLOC_044104	186
XLOC_027786	4043
XLOC_027787	339
XLOC_027784	708
XLOC_044108	1103
XLOC_027782	1467
XLOC_027783	3197
XLOC_027780	197
XLOC_027781	1747
XLOC_028717	2993
XLOC_057277	3469
XLOC_057276	1652
XLOC_002938	246
XLOC_044368	2549
XLOC_015448	841
XLOC_015449	202
XLOC_015444	597
XLOC_015445	2977
XLOC_015446	699
XLOC_015447	256
XLOC_015440	750
XLOC_015441	1763
XLOC_015442	3155
XLOC_015443	276
XLOC_020066	3672
XLOC_020067	1733
XLOC_020064	1649
XLOC_020065	1676
XLOC_020062	1492
XLOC_020063	287
XLOC_020060	1598
XLOC_020061	3322
XLOC_020068	279
XLOC_020069	4057
XLOC_031684	1079
XLOC_016816	167
XLOC_011845	491
XLOC_016933	5675
XLOC_016814	1354
XLOC_017007	1359
XLOC_016815	6200
XLOC_040761	2356
XLOC_016812	1365
XLOC_035555	1259
XLOC_016813	1359
XLOC_011842	968
XLOC_016811	110
XLOC_017004	432
XLOC_031686	2402
XLOC_054126	1218
XLOC_038636	518
XLOC_043652	1094
XLOC_036224	1302
XLOC_031687	2154
XLOC_014713	239
XLOC_014712	397
XLOC_014711	5008
XLOC_014710	556
XLOC_014717	4587
XLOC_014716	7627
XLOC_014715	982
XLOC_014714	10155
XLOC_014719	2249
XLOC_014718	496
XLOC_052623	2172
XLOC_017356	310
XLOC_021334	842
XLOC_017354	6940
XLOC_017355	211
XLOC_017352	2429
XLOC_017353	727
XLOC_021333	488
XLOC_021332	201
XLOC_052625	798
XLOC_021339	372
XLOC_021338	5917
XLOC_017358	4000
XLOC_017359	2177
XLOC_026819	289
XLOC_026818	375
XLOC_016407	3389
XLOC_016406	1029
XLOC_016401	1174
XLOC_016400	575
XLOC_023869	778
XLOC_023868	260
XLOC_023867	423
XLOC_023866	3000
XLOC_026813	5691
XLOC_023864	1949
XLOC_023863	3301
XLOC_026814	5764
XLOC_023861	1068
XLOC_026816	467
XLOC_038635	291
XLOC_012223	3434
XLOC_038908	708
XLOC_038909	433
XLOC_038900	224
XLOC_038901	1767
XLOC_038902	2046
XLOC_038903	500
XLOC_038904	518
XLOC_038905	425
XLOC_038906	627
XLOC_038907	550
XLOC_036199	348
XLOC_036198	336
XLOC_017001	1796
XLOC_036195	4150
XLOC_036194	6308
XLOC_036197	6633
XLOC_036196	321
XLOC_036191	2496
XLOC_036190	1921
XLOC_036193	271
XLOC_036192	3043
XLOC_048535	627
XLOC_008288	3214
XLOC_025546	3447
XLOC_025547	477
XLOC_025544	1172
XLOC_025545	1341
XLOC_025542	1159
XLOC_025543	748
XLOC_025540	1484
XLOC_025541	950
XLOC_025548	1562
XLOC_025549	1410
XLOC_004347	558
XLOC_028716	174
XLOC_018836	3197
XLOC_019606	519
XLOC_019607	443
XLOC_019604	298
XLOC_019605	3935
XLOC_019602	2164
XLOC_019603	6849
XLOC_019600	3443
XLOC_019601	3156
XLOC_035536	2546
XLOC_019608	788
XLOC_019609	1134
XLOC_018555	1951
XLOC_018554	6123
XLOC_018557	168
XLOC_018556	3030
XLOC_018551	339
XLOC_018550	183
XLOC_018553	328
XLOC_018552	317
XLOC_010762	433
XLOC_010763	178
XLOC_010760	436
XLOC_010761	747
XLOC_018559	852
XLOC_018558	714
XLOC_010764	249
XLOC_010765	1466
XLOC_035537	4904
XLOC_043662	352
XLOC_059819	176
XLOC_059818	3117
XLOC_059817	2250
XLOC_059816	250
XLOC_059815	154
XLOC_059814	2357
XLOC_059813	153
XLOC_059812	457
XLOC_059811	1776
XLOC_059810	619
XLOC_013154	1233
XLOC_013155	765
XLOC_013156	299
XLOC_013157	332
XLOC_013150	891
XLOC_013151	514
XLOC_013152	2363
XLOC_013153	639
XLOC_013158	670
XLOC_013159	274
XLOC_043661	396
XLOC_010498	3369
XLOC_010499	7310
XLOC_010494	4893
XLOC_010495	793
XLOC_010496	6952
XLOC_010497	126
XLOC_010490	5316
XLOC_010491	573
XLOC_010492	390
XLOC_010493	593
XLOC_020880	330
XLOC_020881	244
XLOC_020882	203
XLOC_020883	307
XLOC_020884	432
XLOC_020885	200
XLOC_020886	279
XLOC_020887	2936
XLOC_020888	2512
XLOC_020889	430
XLOC_043660	1791
XLOC_022015	241
XLOC_022014	2436
XLOC_022017	285
XLOC_022016	2464
XLOC_022011	431
XLOC_022010	577
XLOC_022013	2165
XLOC_022012	1403
XLOC_022019	2890
XLOC_022018	433
XLOC_043667	599
XLOC_036782	2924
XLOC_019633	1839
XLOC_043666	155
XLOC_019632	1804
XLOC_042537	233
XLOC_004549	425
XLOC_004548	2331
XLOC_004547	4116
XLOC_004546	480
XLOC_004545	342
XLOC_004544	288
XLOC_004543	1224
XLOC_004542	335
XLOC_004541	754
XLOC_004540	565
XLOC_025834	4596
XLOC_059109	4092
XLOC_059108	1737
XLOC_000259	1460
XLOC_000258	2836
XLOC_000257	2610
XLOC_000256	3431
XLOC_000255	426
XLOC_000254	3963
XLOC_000253	6400
XLOC_000252	360
XLOC_000251	3041
XLOC_059102	4126
XLOC_011170	3381
XLOC_011171	1870
XLOC_011172	397
XLOC_011173	178
XLOC_011174	105
XLOC_011175	121
XLOC_011176	380
XLOC_011177	133
XLOC_011178	268
XLOC_011179	370
XLOC_053886	148
XLOC_053887	588
XLOC_053884	621
XLOC_053885	585
XLOC_053882	366
XLOC_053883	1232
XLOC_053880	4225
XLOC_053881	797
XLOC_025458	1092
XLOC_038639	1550
XLOC_053888	161
XLOC_053889	604
XLOC_043651	603
XLOC_022909	182
XLOC_022908	74
XLOC_022903	1887
XLOC_022902	392
XLOC_022901	2316
XLOC_022900	738
XLOC_022907	509
XLOC_022906	331
XLOC_022905	356
XLOC_022904	3258
XLOC_004950	1904
XLOC_023058	2980
XLOC_023059	1144
XLOC_023056	1244
XLOC_023057	13682
XLOC_023054	582
XLOC_023055	1639
XLOC_023052	1974
XLOC_023053	1731
XLOC_023050	831
XLOC_023051	451
XLOC_038621	2011
XLOC_035212	6814
XLOC_025830	2191
XLOC_035211	345
XLOC_035210	776
XLOC_038625	1074
XLOC_004858	515
XLOC_053262	804
XLOC_053263	689
XLOC_053260	193
XLOC_053261	2015
XLOC_053266	1598
XLOC_053267	346
XLOC_053264	2725
XLOC_053265	1987
XLOC_053268	654
XLOC_053269	712
XLOC_006941	155
XLOC_006940	741
XLOC_049353	858
XLOC_006942	458
XLOC_049355	940
XLOC_049354	2234
XLOC_049357	2173
XLOC_006946	723
XLOC_049359	502
XLOC_049358	2770
XLOC_041129	1737
XLOC_035218	755
XLOC_003893	587
XLOC_024439	298
XLOC_024438	1676
XLOC_024435	147
XLOC_024434	3978
XLOC_024437	148
XLOC_024436	239
XLOC_024431	2816
XLOC_024430	751
XLOC_024433	2519
XLOC_024432	2936
XLOC_048837	984
XLOC_020509	441
XLOC_020508	111
XLOC_048836	631
XLOC_020505	2036
XLOC_020504	1565
XLOC_020507	2117
XLOC_020506	189
XLOC_020501	1524
XLOC_020500	1852
XLOC_020503	2365
XLOC_020502	1569
XLOC_033400	155
XLOC_048834	3597
XLOC_033401	257
XLOC_037505	2310
XLOC_005023	553
XLOC_046028	254
XLOC_048832	2668
XLOC_013370	345
XLOC_033403	2515
XLOC_005021	4098
XLOC_013371	773
XLOC_033404	1049
XLOC_005020	402
XLOC_019716	491
XLOC_033405	227
XLOC_019717	571
XLOC_002712	1413
XLOC_037504	5668
XLOC_013374	4505
XLOC_033407	2072
XLOC_013375	1608
XLOC_046022	9381
XLOC_040764	551
XLOC_013376	3406
XLOC_046023	354
XLOC_019713	439
XLOC_002718	539
XLOC_002719	2712
XLOC_049979	158
XLOC_033900	1673
XLOC_049629	313
XLOC_049628	224
XLOC_049978	2312
XLOC_041030	732
XLOC_041031	723
XLOC_035278	433
XLOC_040299	1491
XLOC_040298	395
XLOC_040297	1160
XLOC_040296	366
XLOC_040295	371
XLOC_040294	407
XLOC_040293	516
XLOC_040292	240
XLOC_040291	2325
XLOC_040290	1783
XLOC_051130	2356
XLOC_051131	3430
XLOC_051132	3189
XLOC_051133	3114
XLOC_003238	123
XLOC_003239	1668
XLOC_051136	3235
XLOC_051137	3026
XLOC_051138	478
XLOC_051139	2223
XLOC_003236	376
XLOC_003237	776
XLOC_003230	1330
XLOC_003231	2644
XLOC_003232	1944
XLOC_003233	951
XLOC_050596	499
XLOC_013953	543
XLOC_049625	11804
XLOC_050590	4007
XLOC_057990	1693
XLOC_057991	1458
XLOC_057992	988
XLOC_057993	1749
XLOC_057994	1895
XLOC_057995	792
XLOC_057996	831
XLOC_057997	1511
XLOC_057998	1187
XLOC_057999	4365
XLOC_049626	317
XLOC_010635	746
XLOC_056647	423
XLOC_056646	338
XLOC_056645	187
XLOC_056644	618
XLOC_056643	233
XLOC_056642	340
XLOC_056641	2864
XLOC_056640	267
XLOC_056649	92
XLOC_056648	785
XLOC_010638	223
XLOC_055598	622
XLOC_055599	1366
XLOC_007125	350
XLOC_055592	1579
XLOC_055593	225
XLOC_055590	692
XLOC_055591	106
XLOC_055596	146
XLOC_055597	232
XLOC_055594	355
XLOC_055595	4366
XLOC_025337	352
XLOC_005999	190
XLOC_005998	328
XLOC_005993	2979
XLOC_005992	324
XLOC_005991	183
XLOC_005990	1055
XLOC_005997	497
XLOC_005996	150
XLOC_005995	496
XLOC_005994	362
XLOC_041528	542
XLOC_041529	596
XLOC_041526	595
XLOC_041527	241
XLOC_041524	914
XLOC_041525	507
XLOC_041522	216
XLOC_041523	1037
XLOC_041520	387
XLOC_041521	369
XLOC_012005	1738
XLOC_017036	2492
XLOC_017035	1695
XLOC_017034	1959
XLOC_017642	3140
XLOC_012001	1648
XLOC_052461	248
XLOC_017032	2938
XLOC_003902	285
XLOC_003903	333
XLOC_003900	469
XLOC_048294	363
XLOC_048293	626
XLOC_048292	724
XLOC_003904	527
XLOC_003905	298
XLOC_004183	986
XLOC_003908	436
XLOC_003909	236
XLOC_048299	1808
XLOC_048298	2154
XLOC_050779	504
XLOC_050778	2267
XLOC_016938	203
XLOC_022410	3634
XLOC_050771	179
XLOC_052460	4682
XLOC_050773	596
XLOC_050772	211
XLOC_050775	504
XLOC_022413	2487
XLOC_050777	327
XLOC_050776	522
XLOC_054649	1513
XLOC_054648	4956
XLOC_022412	4620
XLOC_004182	328
XLOC_054641	208
XLOC_054640	3281
XLOC_054643	2712
XLOC_054642	971
XLOC_054645	989
XLOC_054644	955
XLOC_054647	1940
XLOC_054646	3011
XLOC_048165	3806
XLOC_019821	10634
XLOC_017039	2055
XLOC_048164	2868
XLOC_019826	258
XLOC_017038	1960
XLOC_007132	1869
XLOC_019827	213
XLOC_050679	3314
XLOC_019824	4016
XLOC_056015	299
XLOC_053167	365
XLOC_053166	1542
XLOC_056018	215
XLOC_028876	2870
XLOC_019829	1301
XLOC_053387	1850
XLOC_033239	209
XLOC_010109	468
XLOC_024208	604
XLOC_053382	173
XLOC_009427	759
XLOC_024206	643
XLOC_009425	2795
XLOC_009424	793
XLOC_009423	2033
XLOC_009422	798
XLOC_009421	2071
XLOC_010103	1135
XLOC_060357	691
XLOC_029401	467
XLOC_010100	261
XLOC_009429	212
XLOC_009428	990
XLOC_057208	331
XLOC_057209	3329
XLOC_045528	4397
XLOC_045529	730
XLOC_001210	655
XLOC_001211	378
XLOC_030906	2067
XLOC_030907	1811
XLOC_057200	419
XLOC_024202	1250
XLOC_057202	2548
XLOC_057203	5899
XLOC_045526	342
XLOC_057205	411
XLOC_045524	1750
XLOC_045525	4828
XLOC_048129	152
XLOC_048128	375
XLOC_040736	1627
XLOC_040737	104
XLOC_051699	5122
XLOC_051698	449
XLOC_040732	2686
XLOC_040733	316
XLOC_051695	2651
XLOC_051694	282
XLOC_051697	319
XLOC_051696	129
XLOC_048125	406
XLOC_040739	423
XLOC_051693	258
XLOC_051692	366
XLOC_049658	167
XLOC_049659	304
XLOC_043278	1434
XLOC_043279	1173
XLOC_049650	1929
XLOC_043275	1273
XLOC_049652	1395
XLOC_049653	2039
XLOC_049654	2418
XLOC_049655	1842
XLOC_043272	4702
XLOC_049657	441
XLOC_047968	379
XLOC_047969	1621
XLOC_047964	4844
XLOC_047965	370
XLOC_047966	1956
XLOC_047967	354
XLOC_047960	386
XLOC_047961	846
XLOC_047962	273
XLOC_047963	1009
XLOC_035998	1833
XLOC_035999	693
XLOC_009857	1618
XLOC_035990	3191
XLOC_035991	264
XLOC_035992	278
XLOC_035993	1470
XLOC_035994	1451
XLOC_035995	2174
XLOC_035996	1840
XLOC_035997	1715
XLOC_051967	4237
XLOC_051966	2098
XLOC_051965	632
XLOC_051964	317
XLOC_051963	2464
XLOC_051962	840
XLOC_051961	1428
XLOC_051960	1029
XLOC_009852	3301
XLOC_051969	321
XLOC_051968	4105
XLOC_007690	269
XLOC_012778	2789
XLOC_012777	131
XLOC_012776	708
XLOC_061351	2041
XLOC_002749	455
XLOC_002748	4390
XLOC_002743	2533
XLOC_002742	836
XLOC_002741	827
XLOC_002740	2485
XLOC_002747	235
XLOC_002746	2087
XLOC_002745	120
XLOC_002744	813
XLOC_041069	2965
XLOC_041068	616
XLOC_012771	1669
XLOC_041063	14014
XLOC_041062	290
XLOC_041061	1519
XLOC_061354	942
XLOC_041067	765
XLOC_041066	261
XLOC_041065	1380
XLOC_041064	1735
XLOC_039194	574
XLOC_039195	3408
XLOC_039196	676
XLOC_060465	318
